url,keywords,transport,business,food,house,sports,game,devices,arts,events,musics,education,job,connection,life,finances,beauty,innovations,pets,app,services,goods,web,health,age,gender,main_type,main_color,main_theme,m_h_size,m_h_color,m_p_size,m_p_color,font_family,h_size,p_size,about_type,about_color,about_theme,about_h_color,about_p_color,good_type,good_color,good_theme,good_h_color,good_p_color,contacts_type,contacts_color,contacts_theme,contacts_h_color,contacts_p_color,align
https://www.lumosity.com/,"brain exercises, brain game, brain games, brain power, brain teasers, brain test, brain trainer, brain training, brain training games, braingames, improve memory, intelligence test, luminosity, lumosity, memory game, memory games, mind games, speed game, speed games, test your brain, word bubbles, word games",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15-25,both,video,#666666,"play with device, device, hand",34,#ffffff,20,#ffffff,arial,34,20,c,#ffffff,none,#333333,#aaaaaa,c+im,#0e91a1,"devices, devices with quizes",#ffffff,#a7d7dd,c,#104b53,none,#ffffff,#b3c6c8,center
http://www.fivestars.com/,fivestars is the most widely used customer loyalty network for small and medium businesses in north america. it integrates with merchant pos systems to give consumers a single card to earn store-specific rewards across thousands of businesses.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26-55,both,c,#161616,none,48,#e6e6e6,30,#7e7e71,arial,44,20,c+im,#ffffff,"science team, happy people",#2d2d2d,#808284,c,#ffffff,none,#2d2d2d,#808284,c,#161616,none,#fcfcfc,#6d6d70,center
http://www.outbrain.com/,"promote your content on the web's largest publisher sites, including cnn, time and thousands more, through our content discovery platform.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,26-55,both,image,#344650,"man working on laptop, watch sites, ad",66,#ffffff,34,#ffffff,arial,34,17,c,#4a4a4a,none,#ffffff,#ffffff,c+im,#ffffff,"desktop computer, internet, advertise",#222222,#000000,c,#292725,none,#ffffff,#ffffff,float
https://www.periscopedata.com/,it's easy. connect your databases and create beautiful analyses you can share with your whole company.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26-55,both,c,#19223c,none,41,#fefefe,20,#ffffff,arial,50,16,c,#ffffff,none,#9f3bf2,#828489,c,#ffffff,none,#4f5d75,#828489,c,#000000,none,#f8fafb,#8d99ae,center
http://chatterbox.co/,"cognitive engine, machine learning, artificial intelligence, intelligence machine learning",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,26-55,both,video,#555555,"people walking on the street, crowd, china, big city",47,#ffffff,16,#ffffff,arial,47,16,c,#98c126,none,#232323,#232323,c,#ffffff,none,#464646,#464646,c,#ffffff,none,#464646,#464646,center
https://www.infusionsoft.com/demo/,"software demo, services demo, free trial, customer relationship, app",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15-25,both,c,#8464ca,none,50,#ffffff,20,#ffffff,arial,34,17,hp,#554c8d,man tells the audience,#ffffff,#656565,c,#ffffff,none,#303442,#656565,c,#00baf7,none,#ffffff,#ffffff,center
http://dev.stratoscard.com/,"card, all-in-one, the stratos card consolidates your wallet with one smart, secure, & simple digital card. combine your credit, debit, loyalty, gift, and membership cards with stratos and leave them at home.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,26-55,men,video,#505758,people pay card,42,#ffffff,32,#ffffff,arial,40,14,c+im,#ffffff,plastic card,#000000,#000000,c+im,#ffffff,plastic card with smartphone,#2b2b2b,#979797,c,#2a2d2e,none,#ffffff,#dbdbdb,float
https://classpass.com/,"app, fitness, classes, fitness studios, classes experiences",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26-55,women,image,#acabb1,woman doing yoga at group,42,#ffffff,15,#ffffff,"walsheim,sans-serif",42,18,image,#f1f0ee,boxing gloves on the table,#18233e,#18233e,c+im,#ffffff,sport activities,#18233e,#727581,c,#27e6ce,none,#18233e,#18233e,center
https://moz.com/,"seo, drive customers, management",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15-25,men,c,#044154,none,36,#ffffff,18,#ffffff,"""roboto slab"",""museo"",""helvetica neue"",helvetica,arial,sans-serif",36,18,hp,#d0d0d2,"woman working on a laptop, sitting on the floor",#ffffff,#616161,c,#ffffff,none,#5d6769,#5d6769,image,#e5e5e5,office team,#616161,#616161,center
http://info.apttus.com/dreamforce2016-upgradeyourexperiencecontest_upgradeyourdreamforceexp.lp.html,"dreamforce, apttus, quote to cash, contract management, cpq, configure price quote",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26-55,men,image,#1677a6,hotel garden,36,#ffffff,18,#ffffff,"verdana,geneva",36,18,c,#ffffff,none,#62a710,#6099b0,c,#54575a,none,#ffffff,#ffffff,hp,#ff9f19,none,#ffffff,#000000,center
